name,overall,potential,position,birthday,height,weight,foot
Lucas Digne,84,85,LB,"(Jul 20, 1993)","5'10""",163lbs,Left
Allan Marques Loureiro,83,83,CM,"(Jan 8, 1991)","5'9""",163lbs,Right
James David Rodríguez Rubio,82,82,RW,"(Jul 12, 1991)","5'11""",165lbs,Left
Richarlison de Andrade,81,87,ST,"(May 10, 1997)","5'11""",157lbs,Right
Dominic Calvert-Lewin,81,87,ST,"(Mar 16, 1997)","6'2""",157lbs,Right
Jordan Pickford,80,83,GK,"(Mar 7, 1994)","6'1""",170lbs,Left
Michael Keane,80,81,CB,"(Jan 11, 1993)","6'3""",181lbs,Right
Yerry Fernando Mina González,79,81,CB,"(Sep 23, 1994)","6'5""",207lbs,Right
André Filipe Tavares Gomes,79,80,CM,"(Jul 30, 1993)","6'2""",185lbs,Right
Séamus Coleman,79,79,RB,"(Oct 11, 1988)","5'10""",170lbs,Right
Abdoulaye Doucouré,78,78,CM,"(Jan 1, 1993)","6'0""",168lbs,Right
Gylfi Þór Sigurðsson,78,78,CAM,"(Sep 8, 1989)","6'1""",170lbs,Right
Robin Olsen,78,78,GK,"(Jan 8, 1990)","6'5""",190lbs,Right
Alex Iwobi,78,82,RM,"(May 3, 1996)","6'1""",165lbs,Right
Mason Holgate,77,83,CB,"(Oct 22, 1996)","6'0""",165lbs,Right
Bernard Anício Caldeira Duarte,77,77,LW,"(Sep 8, 1992)","5'5""",132lbs,Right
Jean-Philippe Gbamin,77,81,CDM,"(Sep 25, 1995)","6'1""",183lbs,Right
Fabian Delph,76,76,CDM,"(Nov 21, 1989)","5'9""",172lbs,Left
Jonjoe Kenny,76,79,RB,"(Mar 15, 1997)","5'9""",148lbs,Right
Tom Davies,75,80,CM,"(Jun 30, 1998)","5'11""",154lbs,Right
Cenk Tosun,74,74,ST,"(Jun 7, 1991)","6'0""",172lbs,Right
Ben Godfrey,73,84,CB,"(Jan 15, 1998)","6'0""",174lbs,Right
Yannick Bolasie Yala,73,73,LW,"(May 24, 1989)","6'1""",185lbs,Right
Jonas Lössl,72,72,GK,"(Feb 1, 1989)","6'5""",196lbs,Right
Muhamed Bešić,70,70,CM,"(Sep 10, 1992)","5'11""",176lbs,Right
Beni Baningime,67,76,CDM,"(Sep 9, 1998)","5'10""",154lbs,Right
Anthony Gordon,66,83,LW,"(Feb 24, 2001)","6'1""",154lbs,Right
João Manuel Neves Virgínia,64,77,GK,"(Oct 10, 1999)","6'3""",183lbs,Left
Josh Bowler,64,74,RM,"(Mar 5, 1999)","5'9""",165lbs,Left
Kyle Alex John,63,76,RB,"(Feb 13, 2001)","5'9""",150lbs,Right
Niels Nkounkou,61,78,LB,"(Nov 1, 2000)","5'11""",172lbs,Left
Ryan Astley,59,77,CB,"(Oct 4, 2001)","6'0""",154lbs,Right
Con Ouzounidis,59,70,CB,"(Oct 8, 1999)","6'0""",159lbs,Right
